   
lumi event photon_et photon_ph
   
188659 46406237 -1.360839 1.8688964
217743 53562438 -0.520996 1.0703125
5667 1399118 1.1481933 1.3945312
210477 51776516 -1.254150 0.8995361
111584 27450874 1.3200683 -2.540039
214414 52740255 -0.815063 -0.926635
17288 4260184 2.0605468 -2.808593
27628 6796538 -2.151367 1.0310058
248202 61049477 -0.971679 -1.743652
102025 25099099 0.8183593 1.7409668
101558 24983852 0.2225341 2.9409179
184736 45437507 0.5649414 1.5053710
166948 41062367 -0.839843 -1.068847
92744 22815683 -2.143554 -0.990966
247937 60984126 0.7969970 2.3378906
127833 31446158 -1.595947 3.1020507
230833 56777742 -0.298645 -2.692382
145222 35722986 1.4291992 1.1220703
202264 49748635 0.9980468 2.4804687
100386 24694228 1.5783691 2.3637695
249031 61254337 0.3132934 1.2114257
201642 49603440 0.9761962 1.3049316
63424 15601381 -0.247314 1.0061035
119760 29461200 1.1538085 -2.909667
111183 27351829 2.046875 -1.887451
88241 21704003 -1.668457 0.3828735
226327 55673342 2.2163085 -0.458862
164804 40541224 -1.634277 -0.528686
215270 52951773 -1.207519 -0.802368
227740 56022310 -0.827270 0.6488037
15276 3763376 0.8923339 -0.625244
12186 3000376 0.5789794 -0.979125
3966 979216 -0.713500 -1.823730
244571 60161322 -1.353271 -1.369873
171952 42297758 0.4722290 1.8896484
52602 12946128 0.3353881 0.4268798
67519 16612645 0.6579589 0.3920288
200258 49261890 -1.214599 -1.086181
232714 57242008 0.1636352 -0.281921
150637 37051700 0.3549804 0.5697021
148502 36532870 -0.398315 -3.105468
205869 50638761 0.7426757 -2.258300
231427 56924224 2.3793945 -0.935668
170747 42000261 1.2375488 -1.353271
172687 42479385 -1.311279 2.9638671
79405 19530562 1.2685546 0.1629333
180082 44296769 -0.060920 1.1206054
118725 29205807 1.3825683 1.0815429
85930 21141728 -0.903442 -0.144897
110656 27221785 -0.127471 2.8950195
220102 54136312 -2.030273 1.3598632
248264 61064809 0.3374023 0.4254760
127470 31356628 -1.831298 -2.091796
117854 28990736 1.5878906 -2.625
232730 57245895 -1.592285 -1.994873
214489 52758900 0.2678222 2.1108398
138515 34075283 2.1855468 -0.386047
127899 31462508 0.0702209 2.4936523
84461 20778941 0.1025543 -2.661621
224379 55192511 -1.726806 3.0419921
126354 31081020 -1.291992 1.8415527
53463 13150352 -1.882324 0.7445068
135643 33366331 -1.374023 2.7490234
116257 28596294 -1.390136 0.3787841
137024 33707091 1.8735351 -1.487548
194790 47911740 2.0263671 -1.705322
223343 54936670 0.2466125 -0.392822
